net,length_um
_168_,393.5
net68,362.59
_161_,329.05
net88,304.3
clknet_0_clk,285.42
net41,239.565
_246_,221.4
_286_,215.14
net87,211.68
_301_,210.5
_305_,206.36
_170_,201.57
_279_,201.49
_243_,200.49
u_bank_manager.query_bank\[0\],197.33
_299_,196.405
_118_,196.26
_285_,192.01
_307_,191.57
_119_,189.92
_302_,185.63
net85,181.16
_311_,180.69
_283_,179.08
_308_,177.66
_313_,155.91
net77,139.1
_282_,138.28
_151_,130.835
net70,128
net73,126.265
net24,125.54
net2,123.86
_150_,122.2
net80,121.18
net25,118.26
_169_,116.09
_160_,116
net78,115.58
net72,113.16
u_bank_manager.query_bank\[1\],110.46
net79,108.76
net40,106.845
net39,104.38
net37,102.7
u_command_generator.request_row_reg\[7\],98.2
net69,94.96
_215_,94.36
clknet_4_0_0_clk,93.57
_154_,90.62
u_command_generator.state\[0\],90.06
clknet_4_7_0_clk,89.32
net14,89.24
u_command_generator.req_pending,88.275
_329_,83.16
_137_,77.58
net86,73.88
clk,72.51
_205_,71.9
net71,70.7
clknet_4_9_0_clk,68
net74,67.86
u_command_generator.request_column_reg\[2\],66.14
_304_,65.81
u_command_generator.request_column_reg\[4\],65.52
clknet_4_10_0_clk,65.1
net6,64
clknet_4_5_0_clk,63.98
net7,63.66
net84,63.05
net76,62.815
net10,62.58
clknet_4_6_0_clk,62.34
net75,59.12
_142_,57.72
clknet_4_3_0_clk,57.58
clknet_4_11_0_clk,56.72
clknet_4_1_0_clk,56.48
_153_,56.46
u_sdram_init.state\[0\],55.26
_280_,53.88
clknet_4_8_0_clk,53.38
u_command_generator.request_row_reg\[5\],53.3
net12,53.04
clknet_4_12_0_clk,52.9
_212_,52.77
_316_,51.72
_288_,51.46
_166_,51.42
u_sdram_init.delay_counter\[0\],50.1
_149_,50.04
u_command_generator.request_row_reg\[2\],49.96
_001_,49.32
u_command_generator.request_row_reg\[3\],48.24
clknet_4_2_0_clk,47.56
_000_,47.54
_216_,47.16
clknet_4_4_0_clk,47.12
u_sdram_init.delay_counter\[1\],45.76
_128_,44.34
_310_,44.2
net23,43.74
_298_,43.66
clknet_4_15_0_clk,43.34
net81,43.32
_132_,43.28
u_sdram_init.delay_counter\[5\],41.72
_130_,41.04
u_command_generator.state\[5\],40.6
_293_,40.425
_278_,39.44
_284_,39.425
u_sdram_init.delay_counter\[4\],39.22
_300_,38.02
clknet_4_14_0_clk,38.02
net17,37.5
_163_,36.34
net13,36.3
_344_,36.24
net1,36.2
clknet_4_13_0_clk,36.02
read_request,35.45
_275_,34.7
u_command_generator.request_row_reg\[6\],33.98
net11,33.9
_290_,33.64
_116_,33.2
u_sdram_init.delay_counter\[3\],33.14
_171_,32.52
_126_,32.16
net83,31.74
_146_,31.59
u_command_generator.state\[6\],31.58
u_sdram_init.state\[2\],31.26
_007_,30.975
u_sdram_init.delay_counter\[2\],30.68
net19,29.68
u_command_generator.request_row_reg\[8\],29.49
u_command_generator.request_row_reg\[11\],29.48
_123_,29.3
_348_,28.9
u_sdram_init.delay_counter\[9\],28.81
net8,28.54
_158_,28.08
_139_,27.94
_330_,27.68
u_command_generator.request_row_reg\[10\],26.68
_339_,26.44
u_command_generator.state\[1\],26.22
u_command_generator.precharge_for_miss,25.96
